,Unnamed: 0,Tweets,target
241,269,despite a head start on vaccinations argentina only recently surpassed 2% of the population getting at least one dose of the vaccine uruguay started late but it was better able to prepare &amp relied on chinese vaccines that are more reliably supplied than the russian vaccine,positive
242,270,"at fox9 at rosasjorgea if panama charlatans learn about this ""chinese antivirus pill"" they will begin to disprestigate and discredit it panamanian health talks and shamans just want to do business with the vaccine",neutral
243,272,wangyi whether it is a chinese vaccine or not it is a good vaccine so long as it is safe and effective china opposes “vaccine nationalism” we reject any “vaccine divide” or any attempt to politicize vaccine cooperation,positive
244,273,russian chinese hackers may have stolen european vaccine data | russianhacker,neutral
245,275,at happygirldeb1 at craig lasker most of my chinese shit breaks down in months why would i want a vaccine from that sketchy land,negative
246,276,many international travelers will likely need to prove they are vaccinated or free of covid 19 if they plan trips later this year after the eu and china both said they would move ahead with plans for vaccine passports,positive
247,277,ntf to date the philippines has received a total of 1 125 600 vaccine doses including the 600 000 sinovac shots donated by the chinese government and the 525 600 doses of astrazeneca vaccines donated by who’s covax facility | via at  iancruz,neutral
248,278,at boghuma thanks do you mean the chinese vaccine (sinovac and sinopharm),neutral
249,279,at charliekirk11 hi clearly you're an idiot firstly its called covid 19 not chinese virus secondly the vaccine for animals is different to the ones for humans thanks for coming to my ted talk,positive
250,280,ntf to date the philippines has received a total of 1 125 600 vaccine doses including the 600 000 sinovac shots donated by the chinese government and the 525 600 doses of astrazeneca vaccines donated by who’s covax facility at gmanews,neutral
251,283,at naqvimukhtar chinese virus killed the world indian vaccine saved the world,neutral
252,284,al arab us leadership concerned with providing enough vaccine for own residents+still use every available opportunity to cast doubt on efficacy of russian+chinese vaccines sputnik v finds approval in the middle east yuriy zinin via at vijayvaani,positive
253,285,at sunlorrie at wsj again the chinese where the very first ones who rolled out the first vaccine,positive
254,287,new chinese and russian hackers reportedly stole vaccine data from european drug regulator,neutral
255,288,chinese scientist’s spike protein research paves way for covid19 vaccine,neutral
256,289,saying that he did not feel any immediate side effects baggao said the vaccine donated by the chinese government is “safe and would further protect recipients ”,positive
257,290,at p9917j at  salmananwar really you'll somehow manage to get around the uk blockade and you know when you tweet we can all see that you're using a chinese made phone (invented in you know  United_States ) you know that right,positive
258,291,in hk a second person has died after taking the chinese vaccine (sinovac) with further 2 in icu all have diabetes and/or pre existing cardiovascular conditions to be fair the manufacturer did not advice giving it to 60+ and those with such conditions /1,positive
259,292,"wang yi whether it is a chinese vaccine or not it is a good vaccine so long as it is safe and effective china opposes ""vaccine nationalism"" we reject any ""vaccine divide"" or any attempt to politicize vaccine cooperation",positive
260,293,technology technews russian chinese hackers may have stolen european vaccine data aiupnow techy via,neutral
261,294,at profcorrea1 at shannongsims brazil has already purchased 350 million doses of vaccine right now is the most vaccinated country in the brics and the 2nd in latin america be patriotic and don't spread lies about your country we were hit by the chinese virus as well as america and the whole world,positive
262,297,good news  clapping_hands  clapping_hands  clapping_hands  china says it's ready to provide vaccines to overseas chinese olympians,positive
263,298,chinese and russian hackers reportedly stole vaccine data from european drug regulator via at gizmodo,neutral
264,299,at natabone and canada way below that all because of interests sputnik soberana and the chinese vaccine all work to fight covid,positive
265,300,fwiw i'm not an anti vaxxer i'm pro vaccine but i'm not going to lie youtube videos of chinese firms injecting cement in food etc make me distrust the made in china brand &amp my trust in the npra to make decisions for the right reasons is influenced by malaysia's reputation,positive
266,301,at thomasw86935397 at ctvqp at nadhimzahawi the gov't wasn't sitting around waiting their partner didn't have permission from the chinese govt to ship the vaccines for clinical trials in june of last year less than 4 months after the pandemic was declared,neutral
267,303,at hussama21932365 you only represent you personally even with china’s vaccine productivity it will take a lot of time to satisfy 1 4 billion chinese people simply put the supply is limited communist party of china must first satisfy the chinese people,positive
268,305,at sjk415 at geoffmonmouth at drmikehart at somewhereinfl1 then find out how it was caused by a bat when they've now admitted it came from the university 'accidentally' oh yeah and nipah virus that they said could be the next threat yeah that chinese doctor was creating the vaccine for it when she got expelled forcefully from the uni,positive
269,307,at globaltimesnews chinese vaccine are useless,negative
270,308,at deerhaley at mexicolindo at melmel1082 at bathbodyworks this is not about a deadly virus but an excuse to implement freedom destroying vaccine passports which would be the gateway for the introduction of a chinese style digitalised restricted access bio id social credit system don't ever say you didn't know,negative
271,309,another 4 people in hongkong fell ill 2 had to be put in intensive care after receiving chinese vaccine sinovac shots one of them a 80 yr old man is in critical condition there are total 15 ppl have sought medical attention after receiving the vaccines over the past week,negative
272,310,chinese and russian hackers reportedly stole vaccine data from european drug regulator tech feedly,neutral
273,315,chinese and russian hackers stole vaccine data from european drug regulator,neutral
274,317,at rapplerdotcom at rapplerdotcom i can’t believe your headline it is racist and misleading the report does not question the efficacy of the chinese vaccine and yet your headline is casting aspersion on its quality with a “” on made in china shame,neutral
275,318,at meghupdates nobody in the world trusts chinese vaccine that has 73 side effects as found out by the chinese doctors themselves,negative
276,319,both china and russia were reportedly behind two cyberattacks last year at the european medicines agency that compromised documents related to covid 19 vaccines and treatments,neutral
277,320,chinese and russian hackers reportedly stole vaccine data from european drug regulator via at gizmodo covid19 vaccine hacking,neutral
278,322,i don't know about you but for me i don't trust china's vaccine for the simple reason that sinovac &amp sinopharm were made from the real virus inactivated or made dead through chemical process with the limited time in the development of chinese vaccines how could i trust thee,negative
279,323,at meghupdates chinese vaccine is bit like chinese food unpalatable,neutral
280,325,at libradoug at abroad watching at foxnews true trump tried hard to get the vaccine approvals passed at warp speed and i personally know of his efforts to stop the chinese from entering &amp spreading it but he stopped short of coupling it with a masking policy early on he is to be thanked for that but it wasn't enough,positive
281,331,nerd_face  thinking_face  thumbs_up  knownews gizmodo tech chinese and russian hackers reportedly stole vaccine data from european drug regulator,neutral
282,335,russian chinese hackers may have stolen european vaccine data newssuite,neutral
283,337,at suea thornton at scmpnews none of dirty chinese communist party cpc vaccines has been recognized worldwide or approved by who so far death case of a 63 year old hongkong man who received sinovac covid19 vaccine was linked to the cpc low quality and low effective rate vaccine,negative
284,338,amplifying this covid vax resource that offers info on what to expect pre &amp post vaccine translated in spanish vietnamese chinese (simplified/traditional) portuguese might be useful for phrases for answering pt q's thisisourshot medtwitter,positive
285,339,"""report 100 000 doses of chinese vaccine against coronavirus are on their way to palestine""",neutral
286,341,"at deadsyeren at jonminhinnick at cmclymer trump stopped ""chinese nationals"" not travel he allowed ppl to flood in from all over the world without any attempt to contain covid he failed in every way imaginable but hey he also got $100 00 worth of monoclonal antibodies and the vaccine he's good",positive
287,342,by accepting this vaccine passport you give up a great deal of your privacy and freedom you give a huge amount of control to the government it’s gateway to china style digital dictatorship the way the ccp enslaves helpless chinese citizens,positive
288,343,thecybersechub russian chinese hackers may have stolen european vaccine data,neutral
289,344,at timcast this article 3 months ago with same numbers would read almost 1/3 of americans dissaprove of trump's handling of covid let's not forget they said a one yr vaccine was impossible and banning chinese travelers was xenophobic and racist it's not even funny anymore,positive
290,345,russian chinese hackers may have stolen european vaccine data cybersecurity cyberattack,neutral
291,346,caramba es una decepción grande disappointing chinese vaccine results pose setback for developing world the new york times,positive
292,348,at akhileshsharma1 i thought as nepal is more close to china they will be gifted by a chinese vaccine,positive
293,350,at kiranks my cousin living in dubai got the sinopharm vaccine the costliest after the stipulated time she got antibody test done only to get a negative report now she's confused whether to get vaccinated again or just leave it people are saying chinese vaccine is useless,negative
294,355,meanwhile while the uk went from zero capacity to enough to become a net exporter of covid19 vaccine trudeau spent 3 months begging the communist chinese government to save canada trudeauvaccinefailure,negative
295,361,―china steals anything― chinese vaccine research institutes subject to frequent cyberattacks no need to ‘steal’ from others political advisor global times,positive
296,362,support for covid 19 vaccine passports grows with european chinese backing,neutral
297,363,at markgerretsen at michellerempel at erinotoole what’s your point your government went into this with betting on a chinese state company please don’t try taking credit for the vaccine development,neutral
298,364,at michaelwestbiz pretty please ozgov[sic] if its not too much of a bother for your import type $’s ima want the sputnik v vaccine(oh i know soviet &amp all but) or the j&amp j one shot(oh soviet but via our besties the socialist for the rich usa) or the communist chinese shot that’ll vaccinate 500mil,positive
299,365,at pedro lima peru at karlacalle arab nations first to approve chinese covid vaccine — despite lack of public data,positive
300,366,chinese hackers target indian vaccine makers serum institute bharat biotech security firm via at timesofindia,neutral
301,368,"souleymane said ""the vaccine is the only way to protect people from the virus i want to show people the vaccine is not dangerous if i take the vaccine it will help people to accept the vaccine"" senegal took 200 000 doses of the chinese simopharm vacinne at englishin1to1",negative
302,369,is akilesh yadav going to take the chinese vaccine considering that he does not like the made by at bjp4india vaccine whoops i forget that the scientists make the vaccine so much for the samaj brainwashing colonial talent eh at mediacellsp,positive
303,370,russian chinese hackers may have stolen european vaccine data yahoo finance australia,neutral
304,371,mobile_phone_with_arrow  russian chinese hackers may have stolen european vaccine data,neutral
305,373,father in law wants the vaccine because he lost his wife just before christmas he knows it's bollocks but didn't accept the chinese vaccine principles so he wanna die from a pfizer or an oxford one,neutral
306,375,covid update 4 sick after taking chinese vaccine india in pandemic 'en via at youtube,negative
307,376,at dipbrat70 at glenmotz we pissed 100's of billions out the door in the last year and could have spent a portion of that on building our own capability in manufacturing like the uk did they chose to partner wth the chinese first and then panic bought vaccine's form every potential drug co going,positive
308,377,russia reportedly desired data on wherein pfizer's vaccine might go techconflict,neutral
309,379,russia reportedly desired data on wherein pfizer's vaccine might go state subsidized hackers' tries to scouse borrow covid 19 vaccine facts is probably farther achieving than you think told engadgetaccording to reuters assets for dutch newspaper de,positive
310,381,latest articles about ongoing threats rss feed from the corresponding page on russian chinese hackers may have stolen european vaccine data,neutral
311,383,covid update 4 sick after taking chinese vaccine india in pandemic 'endgame',negative
312,384,at foreverbrexit heard from a few people who had the oxford one that they felt terrible yet also a few who were fine i suppose everyone reacts differently to any type of vaccine although speaking mandarin could be advantageous when the chinese death camps are on our shores  face_screaming_in_fear,negative
313,385,at matthew waynz at jaredopio at tituslfc at jovanmulijo at originalblair at eed rush i said let at kagutamuseveni and at janetmuseveni get the jabs in front of national tv at janeruth aceng at dianaatwine then follow otherwise use it on your apologists you've never given us updates on our vaccine now excited with chinese concoctions,neutral
314,387,at snecktoshi at mtracey correct and it’s why less than 1% of brasil has been vaccinated and that with a chinese vaccine with absolutely zero public clinical trial info with low efficacy bolsonaro’s killing it  face_with_tears_of_joy,positive
315,389,nepal pm sharma oli takes india made covishield vaccine but sings chinese tunes need monarchy back in nepal for its growth independence and prosperity,positive
316,391,"china opposes "" vaccine nationalism"" and rejects any ""vaccine divide"" or attempts to politicize cooperation on covid 19 vaccines chinese state councilor and foreign minister wang yi said on sunday during a virtual press conference at the great hall of the people in beijing",positive
317,392,at kiranks the worst quality vaccine is the most expensive socialism with chinese characteristics,negative
318,393,large_orange_diamond solidarity means strength &amp perseverance means victory  large_orange_diamond whether it is a chinese vaccine or not it is a good vaccine so long as it is safe +effective  large_orange_diamond china has 'no room for compromise' on taiwan issue  large_orange_diamond the un is not a club for big or rich countries,positive
319,394,russian chinese hackers may have stolen european vaccine data | engadget tech,neutral
320,395,""" the chinese vaccine is not only cheaper than other vaccines available but has also been deemed 99% effective and seems like the best option for the filipino people the philippines urges other countries to follow suit "" (2/2)",positive
321,397,at catchthewind7 at whitera08566324 let's put it in reverse a little bit the scaremongering that made it sound like the chinese virus was going to wipe people out far and wide has gotten out of hand so much so that people think they need a vaccine when there is a survival rate hovering around 99%,positive
322,398,"at jasonzweigwsj us officials don't like competition form what they consider inferior players if you scan all the media that undermined confidence in sputnik the level of ""disinformation"" spread around to undermined confidence in quality of the russian or chinese vaccine would be incomparable",positive
323,400,russian chinese hackers may have stolen european vaccine data metabloks,neutral
324,401,was waiting when a commie 'association's of ' scientists' will pop up to try to damage our home grown vaccine at the bidding of their chinese masters,neutral
325,403,at savemaldivess at ambassadorzhang at ibusolih at abdulla shahid at mohamednasheed at hpa mv better we push hpa and government we need the chinese vaccine we don't need to wait for european or american vaccine we must bring all asian countries together and build a vaccine centre in case of another outbreak in the near future no need to depend on western world,positive
326,404,interesting talk tomorrow on chinese vaccine diplomacy what will be the impact across africa and is this theme being overplayed if chinese and other vaccines will not be available at scale on the continent,neutral
327,405,shipment of chinese covid 19 vaccine arrives in turkmenistan,neutral
328,407,russian chinese hackers may have stolen european vaccine data | chineseehacker,neutral
329,410,tomorrow (monday) early evening gmt i talk about chinese vaccine diplomacy alongside dr steve itugbu formerly nigerian president obsanjo's special assistant for foreign affairs,neutral
330,411,at guyelster at intelcrab just like western media undermined the chinese and russian vaccine okay got it okay for the west not okay for everyone else,positive
331,413,at ctvqp at nadhimzahawi so why did pm trudeau refuse to permit the development of a canadian vaccine by 7 capable canadian labs as england did and was successful was it because trudeau first went to cansino in china only to be refused by the chinese government,positive
332,416,russian chinese hackers may have stolen european vaccine data crosslinker,neutral
333,417,russian chinese hackers may have stolen european vaccine data via at inoreader,neutral
334,419,pakistan public prefer india's covid vaccine over chinese via at youtube,neutral
335,420,russian chinese hackers may have stolen european vaccine data europeanmedicinesagency coronavirus cyberattack,neutral
336,428,russian chinese hackers may have stolen european vaccine data state backed hackers' attempts to steal covid 19 vaccine data might be farther reaching than you think according to reuters sources for dutch newspaper de volkskrant claim (subscription,positive
337,429,russian chinese hackers may have stolen european vaccine data via at ric9871ric retweet pleaseretweet,neutral
338,430,nerd_face  thinking_face  thumbs_up  knownews engadget tech russian chinese hackers may have stolen european vaccine data state backed,neutral
339,435,vietnam formerly known in chinese as ‘an nam’ peaceful south was colonized by french imperialists and taught to hate china that’s why there is an issue with vaccine today well they can spent their hard earned foreign exchange on western vaccine,negative
340,436,at spaqx at my totz at cchukudebelu there’s little noise about the russian and indian vaccine and i trust it more than the american and chinese vaccines,positive
341,437,also one of those headlines mentions the chinese vaccine sinovac they did adhere to standard vetting procedures and the results seem to be that it's ~50 70% effective compared with &gt 90% efficacy for pfizer moderna sputnik v etc,positive
342,438,brazil health regulator suspends chinese made vaccine trials via at epochtimes,neutral
343,439,a year into this if you support lockdowns masks vaccine passports or any policy associated with c19 then you support xi and the chinese communist party full stop,positive
344,440,at khalid shubber the chinese vaccine,neutral
345,441,china says it's ready to provide vaccines to overseas chinese olympians before they take this vaccine i hope all these olympians remember exactly where this virus came from,positive
346,442,at globaltimesnews chinese vaccine diplomacy failed to win over world's important nations heart &amp minds because they all are in deep sorrow over deaths of their citizens,negative
347,443,this needs thorough investigation we can’t assume it was coincidental the safety of these chinese vaccine is not established,positive
348,444,chinese vaccine research institutes subject to frequent cyberattacks no need to ‘steal’ from others political advisor | chineseehacker,negative
349,446,china could establish a white list of core research teams with stable national sponsorship in bio tech to tackle stranglehold problems chen wei a chinese vaccine scientist &amp cppcc member,positive
350,447,at markov94marko at babylon beaver at sharon75571311 at cpc hq at erinotoole at justintrudeau one wouldn’t make a deal with the chinese army to create a covid vaccine and one did,neutral
351,449,at kamorant at robnicholsontor at hedyfry at justintrudeau lib government only turned its attention to pre ordering tens of millions of vaccine doses from companies such as pfizer and moderna in august after its collaboration between the national research council and chinese vaccine maker cansino finally collapsed after months of delays,positive
352,450,at laaleen “according to national institute of health executive director maj gen aamir aamer ikram the cost of a single dose of chinese vaccine cansino is $13 he said pakistan was relying on international donors and friendly countries like china ” foreignfundedauratmarch,positive
353,451,european countries tread their own paths in vaccine procurement as eu's vaccine procurement process is still sluggish member states have decided to map their own procurement options many are turning towards the chinese &amp russian jabs details,positive
354,452,at seanleicester1 is sinojabs the chinese vaccine mind me asking why you decided to have a vaccine so soon after covid variants,neutral
355,453,at asad umar at fslsltn initially you informed that chinese vaccine not for above 60 years kindly confirm which vaccine now will be given to above 60 years and if chinese being given how and why the decision changed now hope you respond for transparency at imrankhanpti,neutral
356,454,at hussama21932365 china implements a free vaccination for their own people the chinese government does not want foreign students to get a vaccine for free by returning to china foreigners have to pay,positive
357,455,four people in hong kong fell ill including two who had to be put in intensive care after recently receiving their chinese vaccine sinovac shots,negative
358,456,at globaltimesnews how a state brewed hacker attack chinese vaccine institute,neutral
359,457,indias contribution in combating chinese virus being acknowledged by global scientists,neutral
360,458,at cgtnofficial none of dirty chinese communist party cpc vaccines has been recognized worldwide or approved by who so far death case of a 63 year old hongkong man who received sinovac covid19 vaccine was linked to the cpc low quality and low effective rate vaccine,negative
361,459,"the international community hopes that this new revelation will push the non asean bloc to disengage and allow the asean bloc to continue to prosper in line with the chinese vaccine all illegal blackmail by these countries should be investigated """,positive
362,461,at meghupdates so strange none of chinese allies trust chinese vaccine for its virus but they trust indian vaccine,negative
363,462,at sunlorrie as china was first who’d to deal w/consequences of the virus there’d been a legit assumption that china would be the first to come up with a vaccine bc of harper’s generous contract for chinese business in canada there was a chance for a vaccine from  China  in  Canada,positive
364,463,at kumarraonyc us lost 500k if swallowing pride us could have started to use chinese russian vaccine in addition to pfizer it could have saved maybe 5k lives swallowing pride to save 5k lives,neutral
365,464,well seriously is this jaw opening we in the west have undermined the russian and chinese vaccines remember that russia was the first one who introduced a sustainable ebola vaccine this is just politics and it's dumb to take sides we got a pandemic to fight bullshit aside,negative
366,465,at nightcheese86 at acoyne on the ethical point russia &amp china have been pushign to fill the vaccine void in less developed countries to expand their influence the russian vaccine appears to be effective same may be true for the chinese but they are less forthcoming with supporting data,negative
367,466,coronavac chinese vaccine plasma of vaccinated individuals doesn't neutralise p1 variant of covid 19 (brazil),neutral
368,467,at halepuruza at vee16queen wait did the chinese develop a vaccine,neutral
369,468,"""would e u citizens qualify for a certificate if they receive vaccines not approved by the e u drug regulator such as russia’s sputnik v and chinese vaccines what happens if variants spread that reduce some vaccines’ efficacy """,neutral
370,470,as part of the covax program the chinese government will supply the coronavirus vaccine to 69 countries for free,positive
371,471,wow nepal pm gets indian vaccine against chinese virus,neutral
372,472,a small scale study found plasma from eight people vaccinated with the chinese “coronavac” failed to efficiently neutralize the amazonian strain of the coronavirus known as p 1 now ravaging brazil,positive
373,473,"during fight against covid19 china's healthcare system and vaccine research institutions subject to frequent cyberattacks reports that claim chinese hackers launch cyberattacks show ""a thief crying stop thief "" said a chinese political advisor",positive
374,474,at sana yousif is it vaccine or the chinese one,neutral
375,475,suggestion to at wsj improve search function in app i have limited subscription app only i can only find an article via search if i type words in order just as headline eg i could find this article by searching vaccine passport but not covid 19 passport,negative
376,476,masvingo health worker dies after receiving chinese vaccine,neutral
377,477,at chinahand at concernedhk roth is a propaganda machine does he have any proof the chinese vaccine is safe and used in over a dozen countries if it wasn’t safe why didn’t those countries speak out,positive
378,478,sandf sahealth beware someone is on the take now they want chinese vaccine there is a deal taking place the taxpayer is going to pay for at zoladabula stop him,neutral
379,479,nepal pm oli and wife took  India  coronavaccine today over chinese vaccine,neutral
380,480,chinese pharmaceutical firm sinovac biotech will conduct a clinical trial for its covid 19 vaccine on filipinos 60 years old and older,neutral
381,481,at tartantory at iandunt hungary also went outside the eu's vaccine plan and gave emergency approval to both the russian and chinese vaccines also germany purchased its own vaccine doses outside the eu's plan too,positive
382,482,at gmacofglebe at acoyne tbf canada’s original plan was to use a chinese vaccine,neutral
383,483,at globaltimesnews no country needs chinese recognition for its vaccine nor any country needs to recognise fake and unsafe vaccine of chinese origin world has made significant progress in fight against wuhan virus,positive
384,484,guess we will get major points for vaccine democrats unleash chinese style social credit score,positive
385,485,at mmawere sinopharm wasn’t even approved by at who the chinese did not test the required 1% of their population but they have the audacity to export their vaccine &amp testing them on africans the funny part is at who is quiet we are not animals,positive
386,486,nepal’s pm kp sharma oli does not trust chinese vaccine indian corona vaccine installed,neutral
387,487,at 4 bager at bigt06889686 at cajunhossman1 at mumbomania the russian or chinese bot account to which i stupidly replied is now delighted to see you also taking his bait no one can or should be forced to take the vaccine either in the uk or the usa but neither should people spread disinformation to cover their own tracks,positive
388,488,at chinese xu at herbfeng at reuters you brainwashed 1 age over 60 not high risk group so they don't get vaccine first in fact age over 60 still get infected from youth you brainwashed 2 there's efficacy rate overall in preventing you do miss the point no shocking you live under firewall of ccp,positive
389,489,at spokespersonchn chinese vaccine is substandard and non effective india's very own covaxin has world wide acceptances,positive
390,490,at bogochisaac isaac can you pls comment how many of the countries outside the us uk and eu who are ahead of us use vaccines with peer reviewed data for example i cannot find any credible data on the chinese made vaccine used in the uae,positive
391,491,china says it's ready to provide vaccines to overseas chinese olympians cna news sin,positive
392,492,"china announced a ""spring vaccine"" plan to assist overseas compatriots receive china made vaccines to roll out chinese version of health certificates for international travel… check the highlights of chinese fm wang yi's press conference in the info below twosessions2021",neutral
393,493,at broxton8r at stutterloudly hence you've vaccinated 30% of your population and make your own vaccine canadas federal politicians tried to partner with the chinese military for domestic production(failed) then procured late and hence we have only vaccinated 5% incompetent fools costing lives/livelihoods,positive
394,494,chinese sinopharm is for slovaks least preferred vaccine while pfizer/ biontech is the most preferred one slightly ahead of the second sputnikv according to a new poll by focus,positive
395,495,at joycehojoyce at herbfeng at reuters i am very happy to prove that you have been brainwashed first of all you do not know the experimental conditions under which the chinese vaccine is 50% effective and at the same time you don’t know the experimental conditions under which the western vaccine is effective,positive
396,496,many international travelers will likely need to prove they are vaccinated or free of covid 19 if they plan trips later this year,positive
397,497,at jingzhou1967 at reuters chinese citizens can get free vaccine if they want but not necessary in most cases,positive
398,498,at j1mmyc81 get the vaccine still wear a mask murphy will push this whilst destroying restaurants n small businesses agenda only chinese big corporate will run america unions in on the bull pile_of_poo too pp r stupid in this state,negative
399,499,covid is again on the rise because we have down our guards against covid on other hand we have received just one batch of chinese vaccine that too free of cost as it was gift from chinese gov didnot hear any news that pak gov purchased any vaccine,positive
400,500,at joycehojoyce at herbfeng at reuters please read the relevant medical literature carefully instead of being brainwashed the effective rate of china's vaccine is much higher than 50% comparing under the same conditions it has better results and lower side effects than all western vaccines,positive
401,502,hundreds of fake covid19 vaccines seized in southafrica some 400 ampoules equivalent to about 2 400 doses containing the fake vaccine fake masks were found at a warehouse in johannesburg 3 chinese nationals and a zambian national were arrested,negative
402,503,at aj raja at fslsltn which vaccine is being used in pakistan other than chinese any idea,neutral
403,504,at cgtnofficial can chinese government please think about the return of foreign students your students are going out to study we can't you guys let us in even though the vaccine is here please consider our request we are medical students and studying online is very difficult,negative
404,505,chinese virus johnson &amp johnson vaccine approved what 66 per cent effectiveness really means for canadians via at yahoocanada,positive
405,506,at chinese xu at herbfeng at reuters  face_with_tears_of_joy if there is no spread of the virus in china age 0~200 all not high risk not just age over 60 who ccp don't give does to may i ask the ccp vaccine protection rate about 50% age over 60 still get infected from the youth who got dose do ccp lock them at home forever,negative
406,507,chinese firm working on covid 19 mrna vaccine that can be stored at fridge temperature,neutral
407,508,at kiranshaw at ashokpathak1604 at nytimes at toiindianews at indianexpress at httweets at the hindu i called up dubai health authority for vaccination they asked me which vaccine will u take we have indian one and the chinese one that moment itself was of great pride our nation is at the forefront in the fight against covid felt proud,positive
408,509,at danstevens1103 if it was a chinese vaccine i might agree,neutral
409,510,russian chinese hackers targeted europe drug regulator reports cyberattack drugregulatoryauthority ema european europeanmedicinesagency german moscow russia vaccine,neutral
410,511,so why did we not know this before we were prodded traced poked locked up snd now being lectured to take a non approved and experimental vaccine before can unmask dr siegel chinese firm 'mining' dna to control health care future |,negative
411,512,chinese fm china has provided and is providing covid 19 vaccine aid free of charge to 69 developing countries in urgent need while exporting vaccines to other 43 countries,positive
412,514,at giantsofsf ny at dan gt2 at justintrudeau could it be that trudeau is the incompetent one the one that left our borders open for a full year and lied about it the one that partnered with the chinese military for a vaccine the one that has 3 ethic breaches trudeau gave 660 million to a illegal casino,negative
413,515,brazil if it weren't for the chinese vaccine we would be in a crisis of health without limits by april 77% of those vaccinated in brazil will receive coronavac | brazil | economic value luiz c m de barros at lcmbarros,neutral
414,516,at rubenpchavezjr1 at washingtonpost i started caring about chinese imperialism when i was old enough to understand what free tibet bumper stickers were about and opining about the meaning of vaccine selfies adds nothing at all to advance efforts to fight covid rah rah,positive
415,518,at yogye at canhinduadv no chinese or indian vaccine is approved in the west astra zsneca is a british vaccine that happens to be manufactured in india under license period the vaccine purchased by canada is at cost sii is not giving it for free period poor indians won't take it as not free,positive
416,519,orph hvivo conference with china vaccine industry association how many other aim companies discuss their services directly with the national chinese vaccine industry  syringe  handshake  China  money_bag  chart_increasing,positive
417,520,shirley shi has received three offers to be vaccinated against covid 19 through her hometown her beijing residential area and her office area but the human resources manager is in no rush covid19 vaccine,positive
418,521,at dianafromhu i'm not sure what country you are in but the russian vaccine is top of the line there has been testing on it and it is about as good as all the american ones i don't know about the chinese one but i am sure it can't hurt you it might just not be able to help you,positive
419,522,at ydunhai what about international students if overseas chinese can travel and they can get vaccine why we internationalstudents takeusbacktoschool takeusbacktochina you have to think about intl students you are wasting their time money and future their hopes plz don’t ignore,neutral
420,523,"at realjoelsmalley omg they did use the chinese vaccine statistics to state the other ""vaccines"" were safe they did it",positive
421,524,a good way to cure the mentally retarded chinese is using latin alphabet for the writing in life if the chinese want to have normal intelligence also latin alphabet is a good mcgv vaccine to the chinese while ready to getting rid of mcgv may no more shit be with the chinese,positive
422,525,at breesanna at amanda mandyrj should have been a headline from last march but no pfizer had invested in mrna and they were going to get a vaccine out soonest just wait its like the chinese falling down in the street mrna was supposed to be the bees knees but its no better than old tech,positive
423,526,at diamondgirl2018 at axelsavage4 at jimaw63 at r0xie f0x at roninsreality at slimjimjohn1 at blondiefizban at lsuecamp at iamisjp at thereseosulliv2 at tomdoubting at danacos at ladyoftheocean1 at 4joc1 at deplorable111 at jdw714 at cmg 48 at phucksea at gqpklepto at birdwatcher291 at flattielover at springstr3am at findingtruths at mrpantaloni at chrisg409ubc at laylow88861429 at klee34036780 at roseannabandan1 at allie4christ at hgoheavily at bacchaus351 at rogerlhaviland at toccyla at kattmist at ifdrinklib at wookietim at keithjo05883263 at hrt6017 at chieflizwarren at gun youdown at leo97894180 at mongo3804 at josie24055239 at 4cocacoladave at cbowling4512 at momoascrunchie at heather4amazon at psfnyc5 at corinne locher at butdidyouseeit except of course the trumples who refuse the vaccine because they believe chinese media like epoch times,negative
424,527,at patrick piers at oconnellhugh ask irish people and i think i could guarantee many will not take if someone told them chinese vaccine spudnik a bit better chance,positive
425,528,"""meron po tayong na procure na 1 million na darating po sa march 21 (we have procured 1 million doses of vaccine which will arrive on march 21) and then with the generosity of the chinese government another 400 000 will be given to us "" galvez said",neutral
426,529,at narendramodi total drama…worry about jobs creation investments exports safety of all indians lac withdrawal of chinese to 2018 position free vaccine to indians reduction of excise duty on petrol &amp diesel,positive
427,530,health workers in pakistan are intelligent enough to avoid chinese vaccine but when will imrankhan boycottchina at najamsethi,neutral
428,531,at brianbnew at watchtowerrome the az is also new like the pfizer/moderna just a different drug delivery methodology the only traditional inactivated vaccines are the chinese sinopharm and the indian vaccine,positive
429,532,at robertalai the fellows were already vaccinated by the chinese vaccine thats why they have been holding political campaigns like head less chickens how would they be vaccinated the second time hence opaque excuses,negative
430,534,experts worry that china could face a ‘vaccination gap’ that may make it harder for the country to reopen to the global economy,negative
431,535,at mobbashirr covaxin has already passed and published its phase results meanwhile you can kiss a$$ thr west for vaccine  syringe  or get a chinese one praying that you will be on the right side of 50%,positive
432,537,are only america and europe they are only in the eyes of the chinese health organization do not corona vaccines be distributed all over the world is the corona vaccine only for the rich damn  pouting_face  pouting_face  pouting_face,positive
433,538,fm wang yi more than 60 countries have authorized the use of chinese vaccines china has started to provide covid 19 vaccines to 35 african countries and the african union commission china believes covid19vaccine should be a global public good &amp opposes vaccine nationalism,positive
434,539,at bartybartin at anwarjawhar at kuwait moh i do understand your frustration but to clarify vaccinations are also open to everyone in kuwait adding to that uae &amp bahrain are mostly issuing sinopharm’s chinese vaccine which is proven to be less effective on paper they’re issuing more vaccines but is it right to compare,positive
435,540,at chinese xu at joycehojoyce at herbfeng at reuters still can't explain why chinese vaccine can't protect the most vulnerable group sounds dumb to me,negative
436,541,who gave her vaccine more important why did not she apply for chinese vaccine at deshobhaa,positive
